elements,YLOV,RBKA,HWSS,BVYH,VJVK,OZOW,UZIQ,BBKL,FZRZ,NRKH,WEPZ,KYFD,CWBC,TSUV,RKOW,CAJS
inventory,1683,5115,8973,7704,4456,8273,3258,5687,2511,3467,3180,4126,4477,5456,8144,2283
price,4186,6581,4545,784,2724,2590,3269,7146,3971,5494,4592,5413,2871,5677,8359,5428
GU,10,14,15,12,0,11,0,0,14,20,0,11,17,0,18,13
EX,0,0,0,17,0,12,12,0,0,0,17,0,0,0,0,0
FS,0,0,0,0,0,0,16,15,0,0,0,14,0,0,18,0
GG,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0
DK,0,15,16,0,0,0,0,0,0,0,0,0,13,12,17,0
AZ,0,0,0,0,0,20,10,0,0,0,11,17,0,0,19,0
TW,19,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0
AG,0,0,0,0,0,0,0,17,0,0,0,0,0,18,0,0
WG,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0
KY,17,0,0,0,0,0,0,0,0,17,0,11,0,0,0,10
BK,0,15,0,10,15,0,0,0,0,17,0,0,16,0,0,10
EW,0,14,10,0,0,0,17,20,0,0,19,0,0,0,0,0
PH,0,0,0,0,0,18,0,0,19,0,0,0,0,0,0,18
LD,18,0,0,0,10,0,13,0,16,0,0,11,18,19,0,0
PT,0,20,0,0,0,0,0,0,0,0,15,17,0,0,0,0
DW,10,0,0,0,0,18,0,0,0,14,0,0,15,0,0,16
RF,0,0,0,0,16,0,18,0,0,0,0,0,0,0,14,0
UM,0,18,16,19,0,0,0,0,0,16,0,0,0,18,14,19
